Attachment:,Attachment:.1,Attachment:.2,Attachment:.3,Attachment:.4,Attachment:.5
352,Halogen-free plastic copper core wire WL-BV-25,m,14.978,15.125,14.904
353,Halogen-free plastic copper core wire WL-BV-35,m,19.432,19.622,19.337
354,Halogen-free plastic copper core wire WL-BV-50,m,27.478,27.747,27.343
355,Halogen-free plastic copper core wire WL-BV-70,m,38.048,38.421,37.862
356,Halogen-free plastic copper core wire WL-BV-95,m,51.63,52.136,51.377
357,Irradiated plastic copper core wire BYJ(F)-1.5,m,1.114,1.124,1.108
358,Irradiated plastic copper core wire BYJ(F)-2.5,m,1.788,1.805,1.779
359,Irradiated plastic copper core wire BYJ(F)-4,m,2.917,2.946,2.903
360,Irradiated plastic copper core wire BYJ(F)-6,m,4.219,4.26,4.198
361,Irradiated plastic copper core wire BYJ(F)-10,m,6.916,6.984,6.883
362,Irradiated plastic copper core wire BYJ(F)-16,m,9.787,9.882,9.739
363,Irradiated plastic copper core wire BYJ(F)-25,m,15.715,15.869,15.638
364,Irradiated plastic copper core wire BYJ(F)-35,m,20.389,20.588,20.289
365,Irradiated plastic copper core wire BYJ(F)-50,m,28.842,29.125,28.701
366,Irradiated Plastic Copper Core Wire BYJ(F)-70,m,39.946,40.338,39.75
367,Irradiated plastic copper core wire BYJ(F)-95,m,54.202,54.734,53.937
368,SBS Modified Waterproof Roll Material (International Polyester Base 35#),m2,26.112,26.368,25.984
369,Petroleum Asphalt 100#,t,5219.0,5255.0,5213.0
370,Water,m3,2.5,2.5,2.5
371,Electricity,kwh,0.55,0.55,0.55
372,Diesel 0#,kg,8.37,8.68,8.68
373,Diesel -10#,kg,8.872,8.872,8.872
374,Diesel -20#,kg,9.291,9.291,9.291
375,Gasoline 90#,kg,9.085,9.085,9.085
376,93# Gasoline,kg,10,10,10
377,97# Gasoline,kg,10,10,10
378,Electric Welding Rod,kg,6.5,6.5,6.5
"2. Main materials of aluminum alloy doors and windows: profile wall thickness 1.4mm, steel sub-frame wall thickness 1.8mm; hardware accessories are domestic mid-range or higher; 5mm float glass (insulated glass). Profiles are YT65 domestic powder-coated heat-insulating profiles.","2. Main materials of aluminum alloy doors and windows: profile wall thickness 1.4mm, steel sub-frame wall thickness 1.8mm; hardware accessories are domestic mid-range or higher; 5mm float glass (insulated glass). Profiles are YT65 domestic powder-coated heat-insulating profiles.","2. Main materials of aluminum alloy doors and windows: profile wall thickness 1.4mm, steel sub-frame wall thickness 1.8mm; hardware accessories are domestic mid-range or higher; 5mm float glass (insulated glass). Profiles are YT65 domestic powder-coated heat-insulating profiles.","2. Main materials of aluminum alloy doors and windows: profile wall thickness 1.4mm, steel sub-frame wall thickness 1.8mm; hardware accessories are domestic mid-range or higher; 5mm float glass (insulated glass). Profiles are YT65 domestic powder-coated heat-insulating profiles.","2. Main materials of aluminum alloy doors and windows: profile wall thickness 1.4mm, steel sub-frame wall thickness 1.8mm; hardware accessories are domestic mid-range or higher; 5mm float glass (insulated glass). Profiles are YT65 domestic powder-coated heat-insulating profiles.","2. Main materials of aluminum alloy doors and windows: profile wall thickness 1.4mm, steel sub-frame wall thickness 1.8mm; hardware accessories are domestic mid-range or higher; 5mm float glass (insulated glass). Profiles are YT65 domestic powder-coated heat-insulating profiles."
3. All materials in the attachment are products with complete three certificates.,3. All materials in the attachment are products with complete three certificates.,3. All materials in the attachment are products with complete three certificates.,3. All materials in the attachment are products with complete three certificates.,3. All materials in the attachment are products with complete three certificates.,3. All materials in the attachment are products with complete three certificates.
"4. The ""price information"" in this appendix is the market supply price, and the difference from the quota supply price is adjusted. The price difference part is taxed only.","4. The ""price information"" in this appendix is the market supply price, and the difference from the quota supply price is adjusted. The price difference part is taxed only.","4. The ""price information"" in this appendix is the market supply price, and the difference from the quota supply price is adjusted. The price difference part is taxed only.","4. The ""price information"" in this appendix is the market supply price, and the difference from the quota supply price is adjusted. The price difference part is taxed only.","4. The ""price information"" in this appendix is the market supply price, and the difference from the quota supply price is adjusted. The price difference part is taxed only.","4. The ""price information"" in this appendix is the market supply price, and the difference from the quota supply price is adjusted. The price difference part is taxed only."
