Unnamed: 0,Click column heading for variable definition,Unnamed: 2,Exemption/Credit,Unnamed: 4,Age,Income Ceiling,Veteran Status,Other Criteria,Disability,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Benefits Continue for Surviving Spouses,Age for Spouse,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 23,Unnamed: 24,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 27,Unnamed: 28
LA,Spouse of Military or First Responder Killed in Action,Other,1,% Exemption,,,Spouse Killed,X,,,,,,,,,,State,Prop Tax Exempt,By Dec 31,Annual,,,,LA106,,"If the eligible spouse moves to a different homestead, the benefit is limited to the amount of the exemption claimed on the prior homestead.","The unmarried surviving spouse of a member of the Armed Forces, Louisiana National Guard, state police, law enforcement or fire protection officer medical responder, technician, or paramedic who died while on duty is eligible. "
MA,Exemption for Persons Over Age 70 (Clause 17s),Seniors,175,$ Credit,70,,,X,,,,,,,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA101(a),"MA104, MA101(b)","Base benefit is the greater of $2,000 exemption of taxable value or $175. Localities may increase benefit annually by CPI.","Assets including real estate cannot exceed $20,000, although towns can increase asset limit to $40,000, exclude some home value, and adjust for inflation. Application deadline is later of April 1 or 3 months after tax bill is mailed."
MA,Exemption for Surviving Spouses & Minor Children,Other,175,$ Credit,,,,X,,,,,,,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA101(b),MA101(a),"Base benefit is the greater of $2,000 exemption of taxable value or $175. Localities may increase benefit annually by CPI.","Applicant must be a surviving spouse or minor child of a deceased parent. Assets including real estate cannot exceed $20,000, although towns can increase asset limit to $40,000, exclude some home value, and adjust for inflation. Application deadline is later of April 1 or 3 months after tax bill is mailed. "
MA,Veterans Exemption (Clause 22) (Disabled Veterans),Veterans,,Tied to Disability,,,Disabled Vet,X,X,0.1,X,X,,,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA103(a),"MA103(b), MA103(c)","Five credit levels depending on service-connected injuries: 1) 10-90% disability rating or Purple Heart ($400 credit), 2) Loss of one foot, hand, or eye, or Congressional Medal of Honor ($750), 3) 100% disabled ($1,000), 4) Loss of both feet/hands/eyes, or one foot and one hand ($1,250), 5) Totally disabled and has specially adapted housing ($1,500).",Applicant must have lived in the state at least 5 years prior to filing for the exemption or at least 6 months prior to enlisting.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Veterans Exemption (Clause 22) (Surviving Spouse),Veterans,1,% Exemption,,,Spouse Killed,X,,,,,,,,,,Shared,Prop Tax Exempt.,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA103(b),"MA103(a), MA103(c)",,Applicant must have lived in the state at least 5 years prior to filing for the exemption or at least 6 months prior to enlisting.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Veterans Exemption (Clause 22) (Surviving Parents),Veterans,400,$ Credit,,,Other,X,,,,,,,,,,Shared,Prop Tax Exempt.,Jul 1 - Apr 1,Annual,,,,MA103(c),"MA103(a), MA103(b)","Benefit is greater of $500 credit or $2,000 exemption.",Parent of veterans killed is service are eligible. Applicant must have lived in the state at least 5 years prior to filing for the exemption.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Exemption for Persons Aged 70 or Older (Clause 41),Seniors,500,$ Credit,70,7000,,X,,,,,,,Yes,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,Inc.,MA104,MA101,"Benefit is greater of $500 credit or $4,000 exemption.","Net worth excluding value of primary home cannot exceed $17,000 if single or $20,000 if married. Must have lived in the state for at least 10 years and owned property in the state for at least 5 years. Income ceiling is $6,000 for individuals not married.  Application deadline is later of April 1 or 3 months after tax bill is mailed."
MA,Blind Persons' Credit or Exemption (Clause 37s),Disabled,437.5,$ Credit,,,,,,,X,,,,,,,Shared,Prop Tax Credit,Jul 1 - Apr 1,Annual,,Inc.,,MA106,,"Benefit is greater of $437.50 credit or $5,000 exemption. Localities may opt to increase credit to $500.",Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Exempt. for Spouses of Fire/Police Killed in Duty,Other,1,% Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Jul 1 - Apr 1,Annual,,,,MA109,,,Applicant must be the surviving spouse or child of a police officer or firefighter killed in the line of duty.  Application deadline is later of April 1 or 3 months after tax bill is mailed.
MA,Tax Exemption for Poverty or Financial Hardship,Other,,Local Option,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,Local Option,,Both,Both,MA112,,Local boards of assessors may exempt any portion of taxes owed based on qualifying hardship.,"Eligibility extends to homeowners facing hardship due to being called into active military duty or being older and suffering from a physical or mental illness, disability, or impairment. "
MD,Exemption for Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,,,,,,MD105,MD106,,
MD,Exemption for Blind Individuals,Disabled,15000,$ Exemption,,,,,,,X,,,,Yes,,,Local,Prop Tax Exempt.,,,,,,MD106,MD105,,
ME,Veteran Exemption (62+),Veterans,6000,$ Exemption,62,,Warzone,,,,,,,,Yes,,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(a),ME103(b-d),,
ME,Veteran Exemption (Disabled),Veterans,6000,$ Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(b),"ME103(a, c, d)",,
ME,Parent or Child of Wartime Veteran Exemption,Veterans,6000,$ Exemption,,,Other,X,,,,,,,,,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(c),"ME103(a, b, d)",,"A qualifying parent of a deceased veteran must be at least 62 years old, a qualifying child must be a minor. In all cases, the qualifying family member must be receiving a pension, or other compensation from the US Government based on the death of the qualifying veteran."
ME,Veteran Exemption (Specially Adapted Housing),Veterans,50000,% Exemption,,,Disabled Vet,,,,,,X,X,Yes,,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME103(d),ME103(a-c),,"Exemption applies to specially adapted housing units of veterans who served during a federally recognized war period and who are paraplegic, if they received a grant from the United States Government for their adapted housing. "
ME,Blind Exemption,Disabled,4000,$ Exemption,,,,,,,X,,,,,,,Shared,Prop Tax Exempt.,By Apr 1,Annual,,,,ME104,,,
ME,Maine Resident Homestead Property Tax Exemption,General,20000,$ Exemption,,,,X,,,,,,,,,,Shared,Prop Tax Exempt.,By Apr 1,One time,,,,ME105,,"$20,000 exemption subject to reduction in case of local assessment ratio greater than 100%.",Applicant must be permanent state resident who has owned homestead for the past year. 
MI,Poverty Exemption,Other,,Local Option,,Local Option,,Local Option,,,,,,,,,,Local,Prop Tax Exempt.,Calendar Year,Annual,,Both,Both,MI101,,Local governments may grant a full exemption or a partial exemption equal to a percentage of a home's taxable value.,"Local governments must set some income limit (no lower than the federal poverty level) and asset limit (excludes the value of the principal residence), but the levels are chosen by local governments. Additional eligibility criteria may also be set by the local government."
MI,Credit for Veterans (Disabled Vets),Veterans,,Tied to Disability,,50000,Disabled Vet,X,,0.1,,,,,Yes,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(a),MI103(b-d),"Three exemption levels based on disability rating from VA: 10-50% ($3,500 exemption), 60-80% ($4,000), 90-100% (4,500). Exemption applies to taxable value. There is a 50% assessment ratio in MI, so market value of exemption is approximately $7,000-$9,000. The max credit is $1,500. Applicants can claim prior year benefits retroactively for up to four years. Thus, a taxpayer who was eligible for a 2016 income tax credit (Filed by April 18, 2017) but did not apply for it, could claim the 2016 income tax credit on their 2017, 2018, 2019, or 2020 income tax returns (Filed by April 15, 2021).","Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,Credit for Veterans (Spouse killed in service),Veterans,9000,$ Exemption,,50000,Spouse Killed,X,,,,,,,,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(b),"MI103(a,c,d)","The max credit is $1,500. Claim may be made within 4 years of due date. ","Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,"Credit for Veterans (Pensioned Vets, Active Duty)",Veterans,7000,$ Exemption,,50000,Other,X,,,,,,,Yes,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(c),"MI103(a,b,d)","The max credit is $1,500. Claim may be made within 4 years of due date. ","Exemption is for non-disabled pensioned veterans and active military personnel. Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,Credit for Veterans (Spouse of WWII/Korea Vet),Other,5000,$ Exemption,,50000,,X,,,,,,,,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(d),MI103(a-c),"The max credit is $1,500. Claim may be made within 4 years of due date. ","This program is for surviving spouses of nondisabled veterans of WWI, WWII or the Korean War. Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,Credit for Blind People,Disabled,7000,$ Exemption,,50000,,X,,,X,,,,,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,MI103(e),M1103(a-d),"The max credit is $1,500. Claim may be made within 4 years of due date. ","Homestead's taxable value cannot exceed $135,000, market value ≈ $270,000."
MI,Principal Residence Exempt. for Local School Levy,General,,Other,,,,,,,,,,,,,School,Local,Prop Tax Exempt.,By Jun 1,One time,,,,MI104,,This program exempts up to 18 mills for school operating purposes.,Applications may be submitted after June 1 but before November 1 for a partial benefit.
MN,Taconite Credit (In city w/taconite mine),Other,315.1,$ Credit,,,,X,,,,,,,,,,State,Prop Tax Credit,Unspecified,Unspecified,,,,MN101(a),MN101(b),"If applicant's property tax bill is less than $478, then the receive a 66% reduction in their tax bill instead of the flat $315 credit. ","Applicant must live in a city where taconite is mined or quarried, or where there is a taconite concentrating plant. Nonhomestead property is eligible."
MN,Taconite Homestead Credit (Near taconite mine),Other,289.8,$ Credit,,,,X,,,,,,,,,,State,Prop Tax Credit,Unspecified,Unspecified,,,,MN101(b),MN101(a),"If applicant's property tax bill is less than $509, then the receive a 57% reduction in their tax bill instead of the flat $290 credit.",Applicant must live in a school district whose boundaries are within 20 miles of a taconite mine or plant. Nonhomestead property is eligible.
MN,Refund for Significant Property Tax Increases,Other,,Other,,,,X,,,,,,,,,,State,Rebate Check,By Aug 15,Annual,,,,MN102,,"The benefit is equal to 60% of taxes that exceed a 12% increase from the prior year if that amount is over $100. The maximum benefit is $1,000.",The benefit does not extend to increases in taxes due to improvements that increase the value or due to termination of valuation exclusions for older homes or natural disasters.
MN,Agricultural Homestead Market Value Credit,Other,,Other,,,,X,,,,,,,,,,State,Prop Tax Credit,By Dec 15,Unspecified,,,,MN105,,"The credit is equal to 0.3 percent of the first $115,000 of the property's agricultural credit market value plus 0.1 percent of the property's agricultural credit market value in excess of $115,000. The maximum benefit is $490 at $260,000 market value.","To be eligible, a property must be classified as an agricultural homestead, must be class 2a agricultural land or any vacant class 2b land contiguous with the agricultural land and owned by the same party. "
MN,Disabled Veteran Homestead Exempt. (100% disabled),Veterans,300000,$ Exemption,,,Disabled Vet,,X,,,,,X,Yes,,,Local,Prop Tax Exempt.,Jan 1 - Jul 1,One time,,,,MN106(a),"MN107, MN106(b)","Surviving spouse benefit ends after 8 years. If the disabled veteran is not a homeowner, then the primary family caregiver of the eligible veteran can receive the exemption.",
MN,Disabled Veteran Homestead Exempt. (70% disabled),Veterans,150000,$ Exemption,,,Disabled Vet,,,0.7,,,,,,,,Local,Prop Tax Exempt.,Jan 1 - Jul 1,Annual,,,,MN106(b),"MN107, MN106(a)","If the disabled veteran is not a homeowner, then the primary family caregiver of the eligible veteran can receive the exemption.",
MN,Homestead Market Value Exclusion,General,,Other,,,,,,,,,,,,,,Local,Prop Tax Exempt.,By Jan 2,One time,,,,MN107,,"The exclusion is 40% of the first $76,000 of market value, reduced by 9% of the value over $76,000, and phases out completely at $413,800 market value.",Farmstead property is eligible.
MN,Special Classification for the Blind or Disabled,Disabled,,Other,,,,X,X,,X,,,,,,,Local,Prop Tax Exempt.,By Oct 1,Annual,,,,MN108,,"The benefit exempts 55% of the first $50,000 of assessed value.",Disability must be total and permanent and the applicant must be receiving disability payments from a public agency. Benefits extend to surviving spouses of disabled veterans. 
MS,Homestead Exemption for Seniors,Seniors,75000,$ Exemption,65,,,,,,,,,,Yes,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,MS102(a),MS102(b),Recipients of this benefit are also exempted from the forest acreage tax.,
MS,Homestead Exemption for the Disabled,Disabled,75000,$ Exemption,,,,,X,,,,,,Yes,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,MS102(b),MS102(a),Recipients of this benefit are also exempted from the forest acreage tax.,
MS,Homestead Exempt. for Taxpayers Under 65 Years Old,General,,Other,Other,,,,,,,,,,,,,Shared,Prop Tax Credit,Jan 1 - Apr 1,Annual,,,,MS103,,"Tax credit is based on assessed value, with 50 brackets in $150 increments: $6 (Assessed value < $150) to $300 (Value > $7,350).",
MS,Homestead Exemption for Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,Annual,,,,MS104,,,
NC,Homestead Exclusion for Senior Citizens,Seniors,0.5,% Exemption,65,30200,,,,,,,,,,,,Local,Prop Tax Exempt.,By Jun 1,One time,,,,NC101(a),All other property tax relief,"Beneficiaries can take a $29,500 exemption from assessed value instead of the 50% exemption if it would result in greater tax savings (Applies if value < $59,000). Up to one acre of land is eligible for exemption.","Claimants continue to receive benefit if residence unoccupied for medical reasons, including nursing home care."
NC,Homestead Exclusion for Disabled Citizens,Disabled,0.5,% Exemption,,30200,,,X,,,,,,,,,Local,Prop Tax Exempt.,By Jun 1,One time,,,,NC101(b),All other property tax relief,"Beneficiaries can take a $29,500 exemption from assessed value instead of the 50% exemption if it would result in greater tax savings (Applies if value < $59,000). Up to one acre of land is eligible for exemption.","Claimants continue to receive benefit if residence unoccupied for medical reasons, including nursing home care."
NC,Disabled Veteran Homestead Property Tax Exclusion,Veterans,45000,$ Exemption,,,Disabled Vet,,X,,,,,X,Yes,,,Local,Prop Tax Exempt.,By Jun 1,One time,,,,NC104,All other property tax relief,Up to one acre of land is eligible for exemption.,Applicants are eligible if they have received specially adapted housing assistance.
ND,Property Tax Exemption for Disabled Residents ,Disabled,100000,$ Exemption,,,,X,X,,,,X,X,Yes,,,Local,Prop Tax Exempt.,By Feb 1,One time,,,,ND103(a),"ND103(b,c)",,Applicants must be totally disabled and permanently confined to a wheelchair.
ND,Property Tax Exemption for Disabled Veterans,Veterans,120000,$ Exemption,,,Disabled Vet,X,,,,,X,,Yes,,,Local,Prop Tax Exempt.,By Feb 1,One time,,,,ND103(b),"ND103(a,c)",,Applicant must be a paraplegic veteran who has been awarded specially adapted housing by the Department of Veterans Affairs.
ND,Exemption for Disabled Residents (Low-Income),Disabled,160000,$ Exemption,,42000,,,,,,,X,,Yes,,,Local,Prop Tax Exempt.,By Feb 1,One time,,,,ND103(c) ,"ND103(a,b)",,Applicant must be a paraplegic disabled person whose income is less than the income ceiling for claiming the circuit breaker program Homestead Credit (ND101). 
ND,Property Tax Credit for Disabled Veterans,Veterans,,Tied to Disability,,,Disabled Vet,,,0.5,,,,,Yes,,Excl. spec. assess.,State,Prop Tax Credit,By Feb 1,One time,,,,ND104(a),ND104(b),"If taxable value of improvements is below $5,400 (market value ≈ $120,000), there's a percentage reduction in the taxable value of improvements equal to the veteran's disability rating. If taxable value exceeds $5,400, then the exemption equals the percentage disabled x $5,400. The maximum exemption is $6,750 of taxable value (market value = $150,000)",
ND,Prop. Tax Credit for Spouse of Vet Killed in Service,Veterans,1,% Credit,,,Spouse Killed,,,,,,,,,,Excl. spec. assess.,State,Prop Tax Credit,By Feb 1,One time,,,,ND104(b),ND104(a),,Surviving spouse who is receiving department of veterans' affairs dependency and indemnity compensation is eligible. 
ND,Property Tax Exemption for the Blind,Disabled,160000,$ Exemption,,,,,,,X,,,,,,,Local,Prop Tax Exempt.,By Feb 1,Annual,,,,ND106,,"
",
NE,Homestead Exemption for Totally Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,X,X,,,X,X,X,Yes,,,State,Prop Tax Exempt.,Feb 3 - Jun 29,Annual,,,,NE104,,,"Totally disabled veterans who have a full service-connected disability, surviving spouses of veterans who died of a service-connected disability while on active duty, and veterans who are paraplegic or multiple amputee and their widows whose home was contributed to by the DVA. Surviving spouses who remarry after reaching the age of 57 are eligible. "
NH,Local Option Elderly Exemption,Seniors,5000,$ Exemption,65,20400,,X,,,,,,,,,,Local,Prop Tax Exempt.,Dec 1 - Apr 15,One time,,Inc.,Inc.,NH103,NH102,,"Applicant must have resided in the state for at least three years. Local government sets asset limit, which must be at least $35,000 and exclude home value. Income ceiling is $13,400 for individuals not married."
NH,Veterans' Standard Tax Credit,Veterans,50,$ Credit,,,All,X,,,,,,,Yes,,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,Inc.,,NH105(a),NH109,"Localities may increase the veterans' tax credit up to $500, although surviving spouses are not eligible for a credit above $50 unless their spouse was killed in action. Localities must recertify eligibility at least once every 5 years.",Applicant must have resided in the state one year prior to April 1 of application year.
NH,Veterans' Surviving Spouse Tax Credit,Veterans,700,$ Credit,,,Spouse Killed,,,,,,,,,,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,Inc.,,NH105(b),,"Localities may increase benefit to up to $2,000.",
NH,Totally Disabled Veterans' Credit with Local Options,Veterans,700,$ Credit,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,Inc.,,NH109(a),NH105,"Localities may increase credit up to $2,000. Localities must recertify eligibility at least once every 5 years.","Applicant must have a total and permanent service-connected disability, certified by the US Department of Veteran Affairs. Applicant must have resided in the state one year prior to April 1 of application year."
NH,Veterans' Tax Credits (Spec. Adapted Housing),Veterans,1,% Exemption,,,Disabled Vet,,,,,,,X,Yes,,,Local,Prop Tax Credit,Dec 1 - Apr 15,One time,,,,NH109(b),,Localities must recertify eligibility at least once every 5 years.,
NJ,Property Tax Exemption for Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,X,X,X,X,Yes,,,Local,Prop Tax Exempt.,Calendar Year,One time,,,,NJ102,,Retroactive refunds permitted.,
NJ,Annual Property Tax Deduction for Senior Citizens,Seniors,250,$ Credit,65,10000,,,,,,,,,Yes,55,,Local,Prop Tax Credit,Oct 1 - Dec 31,Annual,,,,NJ103(a),NJ103(b),"After initial application year, required annual form is due by Mar 1.",
NJ,Annual Property Tax Deduction for Disabled Persons,Disabled,250,$ Credit,,10000,,,X,,,,,,Yes,55,,Local,Prop Tax Credit,Oct 1 - Dec 31,Annual,,,,NJ103(b),NJ103(a),"After initial application year, required annual form is due by Mar 1.",
NJ,Property Tax Reimbursement (Senior Freeze),Seniors,,Other,65,70000,,X,,,,,,,,,,State,Rebate Check,By Oct 31,Annual,,,,NJ104(a),NJ104(b),Credit equals the difference between property tax paid in the base year (i.e. first year eligible) and the amount paid in the current year.,"For 2018 benefit, 2017 income is subject to income limit of $70,000 and 2016 income may not exceed $87,000. Applicant must have owned homestead for past three years and lived in the state since 2006."
NJ,Property Tax Reimbursement (Disabled),Disabled,,Other,,70000,,X,,,,,,X,,,,State,Rebate Check,By Oct 31,Annual,,,,NJ104(b),NJ104(a),Credit equals the difference between property tax paid in the base year (i.e. first year eligible) and the amount paid in the current year.,"For 2018 benefit, 2017 income is subject to income limit of $70,000 and 2016 income may not exceed $87,000.  Applicant must be receiving Federal Social Security disability benefits, have owned homestead for past three years, and lived in the state since 2006. "
NJ,Annual Deductions for Veterans,Veterans,250,$ Credit,,,All,,,,,,,,Yes,,,Local,Prop Tax Credit,Oct 1 - Dec 31,Annual,,,,NJ106,,Applicants must have resided in the state for one year prior to October 1 application year. ,
NM,Head-of-Family Exemption,General,6000,$ Exemption,,,,,,,,,,,,,Excl. spec. assess.,Local,Prop Tax Exempt.,30 days after notice,One time,,,,NM102,,Applications are accepted from Jan. 1 to 30 days after the assessors mails the notice of value.,Only residential property owned by head of family or held in grantor trust by head of family is eligible. 
NM,Veteran Exemption,Veterans,12000,$ Exemption,,,All,,,,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NM103,,,
NM,Disabled Veteran Exemption,Veterans,1,% Exemption,,,Disabled Vet,X,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NM104,,,
NV,Property Tax Exemption for Blind Persons,Disabled,11571.4285714286,$ Exemption,,,,X,,,X,,,,,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV101,,,Applicant must have resided in the state for at least 6 months. Only the first application requires an affidavit and certification from a licensed physican.
NV,Property Tax Exemption for Veterans,Veterans,7714.28571428571,$ Exemption,,,All,X,,,,,,,,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV102,,"The amount of the exemption is $2,800 in 2019.",Veteran must have served during specified periods of conflict. Applicant must have resided in the state for at least 6 months.
NV,Property Tax Exemption for Surviving Spouses,Other,3857.14285714286,$ Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV103,,,
NV,Exemption for Disabled Veterans (100% disabled),Veterans,77142.8571428571,$ Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV104(a),"NV102, NV104(b,c)",,
NV,Exemption for Disabled Veterans (80% disabled),Veterans,57857.1428571429,$ Exemption,,,Disabled Vet,,,0.8,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV104(b),"NV102, NV104(a,c)",,
NV,Exemption for Disabled Veterans (60% disabled),Veterans,38571.4285714286,$ Exemption,,,Disabled Vet,,,0.6,,,,,Yes,,,Local,Prop Tax Exempt.,Unspecified,One time,,,,NV104(c),"NV102, NV104(a,b)",,
NY,STAR Exemption (Basic),General,30000,$ Exemption,,500000,,,,,,,,,,,School,State,Prop Tax Exempt.,,One time,,,,NY104(a),NY104(b),"The exemption amount on which the benefit is based is adjusted based on local housing prices, and is lower in the five largest cities (where it is applied to both general city taxes and school taxes). Savings from STAR cannot increase more than 2% per year. Residents of NYC are not eligible. The STAR exemption is now disbursed to new applicants as a rebate check (Starting in 2016), but homeowners who applied in prior years continue to receive STAR as a property tax exemption.",
NY,STAR Exemption (Enhanced),Seniors,65500,$ Exemption,65,86300,,,,,,,,,Yes,62,School,State,Prop Tax Exempt.,,One time,,,,NY104(b),NY104(a),"The exemption amount on which the benefit is based is adjusted based on local housing prices, and is lower in the five largest cities (where it is applied to both general city taxes and school taxes). Savings from STAR cannot increase more than 2% per year. Residents of NYC are not eligible. The STAR exemption is now disbursed to new applicants as a rebate check (Starting in 2016), but homeowners who applied in prior years continue to receive STAR as a property tax exemption.",
NY,Eligible Fund Veterans Exemption,Veterans,7500,$ Exemption,,,All,,,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,,,NY105(a),NY105(b),Local application deadline is usually Mar 1.,
NY,Eligible Fund Seriously Disabled Exemption,Veterans,1,% Exemption,,,Disabled Vet,,,,,,,X,Yes,,,Local,Prop Tax Exempt.,Local Option,One time,,,,NY105(b),NY105(a),Local application deadline is usually Mar 1.,Applicant must be eligible for governmental grants for special equipment in residence to accommodate veteran's disability.
NY,Exemption for Clergy,Other,1500,$ Exemption,,,,X,,,,,,,Yes,,,Local,Prop Tax Exempt.,Local Option,Annual,,,,NY112,,Local application deadline is usually Mar 1.,Applicant must be a member of the clergy or a surviving spouse of clergy.
NY,Property Tax Relief Credit,General,,Other,,275000,,X,,,,,,,,,,State,Rebate Check,,,,,,NY114,,"This credit equals a percentage of a taxpayer's STAR exemption (NY104a), with the percentage depending on the homeowner's 2016 income: Income $75,000 or less (Credit = 60% of Basic STAR savings), Income $75,000 to $150,000 (42.5%), Income $150,000 to $200,000 (25%), Income $200,000 to $275,000 (Credit = 7.5% of Basic STAR Savings). For homeowner's that receive Enhanced STAR (NY104b), this credit equals 26% of their Enhanced STAR savings. This credit is disbursed automatically to qualifying taxpayers receiving STAR benefits. ",New York City property is ineligible. Credit unavailable in communities that have exceeded tax levy limit. 
OH,Senior Property Tax Homestead Exemption,Seniors,25000,$ Exemption,65,32200,,,,,,,,,Yes,59,,State,Prop Tax Exempt.,Calendar Year,One time,,,,OH101(a),OH101(b),,The income ceiling only applies to individuals who turned 65 after 2013. There is no income ceiling for taxpayers who received this exemption in 2013.
OH,Disabled Property Tax Homestead Exemption,Disabled,25000,$ Exemption,,32200,,,X,,,,,,Yes,59,,State,Prop Tax Exempt.,Calendar Year,One time,,,,OH101(b),OH101(a),,Only individuals who became disabled after 2012 are subject to the income limit.
OH,Two and Half Percent Rollback,General,0.025,% Credit,,,,X,,,,,,,,,,State,Prop Tax Credit,By Jun 5,One time,,,,OH102,,,Applicants must be homeowners and occupy the residence. 
OH,Ten Percent Rollback,General,0.1,% Credit,,,,,,,,,,,,,,State,Prop Tax Credit,By Jun 5,One time,,,,OH103,,,
OH,Disabled Veteran Property Tax Homestead Exemption,Veterans,50000,$ Exemption,,,Disabled Vet,,X,,,,,,Yes,,,State,Prop Tax Exempt.,Calendar Year,One time,,,,OH105,,Up to 1 acre of land is eligible for exemption. ,
OK,Property Tax Exemption for Disabled Veterans,Veterans,1,% Exemption,,,Disabled Vet,,X,,,,,,Yes,,,Local,Prop Tax Exempt.,Jan 1- Mar 15,One time,,,,OK102,,,
OK,Homestead Exemption,General,8000,$ Exemption,,,,X,,,,,,,,,,Local,Prop Tax Exempt.,By Mar 15,One time,,,,OK103,,,Applicant must own and live in the home. Homeowners who have delinquent personal property taxes are not eligible. 
OK,Additional Homestead Exemption,Other,8000,$ Exemption,,20000,,X,,,,,,,,,,State,Prop Tax Exempt.,Jan 1 - Mar 15,Annual,,,,OK104,,,Veterans disability compensation is excluded from income computation. Eligible applicants age 65 or older do not need to reapply.
OK,Credit for Natural Disaster Damage,Other,,Other,,,,X,,,,,,,,,,State,Income Tax Credit,With Inc. Tax Return,Annual,,,,OK106,,"The base credit is the difference between the property taxes paid per square foot before the natural disaster and after the residence is rebuilt following the damage. The credit is available for 5 years, with the base credit reduced by 20% each year.",The property must have been destroyed or damaged by a natural disaster after 12/31/2011. The property must be primary residence in years prior to and after the natural disaster and homeowner must be eligible for the homestead exemption in the same years. 
OR,Homestead Exemption for Active Duty Military,Other,88112.0228070938,$ Exemption,,,,X,,,,,,,Yes,,,Shared,Prop Tax Exempt.,Jan 1 - Aug 1,Annual,,,,OR102,,"Exemption was $60,000 in 2005 and has increased 3% each year beginning in 2006, so the 2018 exemption was $88,112.",Program is for members of Armed Services on active duty for 179+ consecutive days.
OR,Disabled Veterans' Exemption,Veterans,25665,$ Exemption,,,Disabled Vet,,,0.4,,,,,Yes,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,,,OR103(a),OR103(b),,"Veterans whose disability is not service-connected are eligible for a $21,386 exemption, and are subject to an income ceiling if their disability was certified by a private practitioner rather than by the VA or armed force (Their income cannot exceed 185% of the Federal Poverty Level). "
OR,Veterans' Surviving Spouses Exemption,Veterans,25665,$ Exemption,,,Spouse Killed,,,,,,,,,,,Shared,Prop Tax Exempt.,Jan 1 - Apr 1,One time,,,,OR103(b),OR103(a),,
PA,Exemption for Disabled Veterans,Veterans,1,% Exemption,,88607,Disabled Vet,,X,,X,X,X,,Yes,,,Local,Prop Tax Exempt.,Unspecified,Every two years,,,,PA104,,,
