Unnamed: 0,Click column heading for variable definition,Exemption/Credit,Unnamed: 3,Veteran Status,Age,Income Ceiling,Other Criteria,Disability,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Benefits Continue for Surviving Spouses,Type of Taxes Reduced,Gov't Bearing Tax Loss,How is Benefit Disbursed,Application Window,Application Frequency,Local Options,Unnamed: 21,Unnamed: 22,SFPT ID,Cannot Also Claim the Following Programs,Unnamed: 25,Unnamed: 26
VT,Veterans' Property Tax Exemption,10000,$ Exemption,Disabled Vet,,,,,0.5,,,,,Yes,,Local,Prop Tax Exempt.,By May 1,Annual,,Inc.,,VT104,,"Surviving spouses, totally and permanently disabled veterans, veterans with a permanent medical retirement, and veterans with a disability compensation rating of 50% or higher for 10 consecutive years must only apply one time.",Children of qualifying veteran are eligible if they are receiving dependent and survivor benefits.
WI,Disabled Veteran and Surviving Spouse Tax Credit,1,% Credit,,,,X,X,,,,,,Yes,,State,Income Tax Credit,,One time,,,,WI107,,,Applicant must have been a resident of WI for at least five years prior to service.
WY,Exemption for Veterans,31578.9473684211,$ Exemption,Warzone,,,,,,,,,,Yes,,State,Prop Tax Exempt.,By May 22,Annual,,,,WY105,,,Applicant must have lived in the state 3 years. Veterans who served in a warzone and disabled veterans are eligible for this exemption.
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Option Programs,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Local Option Exemption for Veterans,,Local Option,Warzone,,21000.0,,,,,,,,,,Local,Prop Tax Exempt.,Local Option,2 Years,Yes,Both,Both,CT115,,"The exemption provided can be up to $5,000 or an amount up to 5% of assessed value.","This program is for veterans who do not qualify for the standard deduction (CT104) because of their dates of service and who were not injured in service. The income levels may be either the statutory limit for single individuals, $21,000, or an amount established by the municipality, not to exceed this amount by more than $25,000."
HI,Exemption for Totally Disabled Veterans,1,% Exemption,Disabled Vet,,,,X,,,,,,Yes,Excl. special assess.,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,,Dec.,HI105,,"In Maui County, eligible taxpayers are levied a total property tax of $150 per year.","In Maui County, only unremarried surviving spouses of veterans who died while on active duty are eligible for the benefit. "
LA,Local Option Home Exemption for Disabled Veterans,75000,$ Exemption,,,,,X,,,,,,Yes,,Local,Prop Tax Exempt.,Local Option,Local Option,Yes,,,LA105,,,
NY,Alternative Veterans Exemption (War time vet),0.15,% Exemption,All,,,,,,,,,X,Yes,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,,NY106(a),,"Local governments choose the maximum dollar amount of the exemption, which can range from $9,000 to $45,000 (or $75,000 for localities with high appreciation). Local application deadline is usually Mar 1.",Only veterans who served during period of war eligible.
NY,Alternative Veterans Exemption (Combat zone),0.1,% Exemption,Warzone,,,,,,,,,,Yes,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,,NY106(b),,"This exemption is in addition to the 15% exemption for wartime veterans (NY106a). Local governments choose the maximum dollar amount of the exemption, which can range from $6,000 to $30,000 (or $50,000 for localities with high appreciation). Local application deadline is usually Mar 1.",
NY,Alternative Veterans Exemption (Disabled),,Tied to Disability,Disabled Vet,,,,,0.1,,,,,Yes,,Local,Prop Tax Exempt.,Local Option,One time,Yes,Both,,NY106(c),,"Exemption amount equals one-half of the vet's disability rating multiplied by a maximum benefit chosen by the local government, which can range from $30,000 to $150,000 (or $200,000 for localities with high appreciation). That means the exemption falls between $1,500 (1/2 x 10% x 30,000) and $75,000 (1/2 x 100% x 150,000) (With a higher range for localities with high appreciation). Local application deadline is usually Mar 1.",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legend,,,,Local Option: Local governments set criteria.,,,T: Total Disability,,,,,,,Excl: Excludes,,,,,Adpt: Program Adoption,,,,,,
,,,,,,,,P: Partial Disability,,,,,,,Blank: All taxes or unspecified,,,,,Ben: Benefit Levels,,,,,,
,,,,,,,,Bl: Blind,,,,,,,,,,,,Elig: Eligibility Criteria,,,,,,
,,,,,,,,LL: Loss of Limbs,,,,,,,,,,,,Inc: Can increase benefits or expand eligibility,,,,,,
,,,,,,,,Par: Paralysis,,,,,,,,,,,,Dec: Can decrease benefits or reduce eligibility,,,,,,
,,,,,,,,O: Other,,,,,,,,,,,,Both: Can increase or decrease benefits and eligibility,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suggested Citation,,,,,,,,,,,,,,,,,,,,,,,,,
,Lincoln Institute of Land Policy. 2019. Significant Features of the Property Tax. Residential Property Tax Relief Programs: Summary Table on Exemptions and Credits in 2018.,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.lincolninst.edu/research-data/data-toolkits/significant-features-property-tax/topics/residential-property-tax-relief-programs,,,,,,,,,,,,,,,,,,,,,,,,,
