Unnamed: 0,Unnamed: 1,"PRC 181
TOTAL ALLOTMENT","PRC 181
TOTAL EXPENDITURES",Unnamed: 4,Unnamed: 5,"PRC 181
OVERSPENT","PRC 181
REQUIRED SET-ASIDE","PRC 181
EXPENDITURES","PRC 181
EXPENDITURES.1",Unnamed: 10,"Activities or interventions the PSU implemented to satisfy the PSU'S required 20% Set-Aside for Learning Loss
PRC 181 LEARNING LOSS ONLY
FROM 7/1/2023 TO 3/31/2025",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
650,New Hanover Co,57320092.2,25548620.65,30652198.7,1119272.85,0,0.0748485886071202,4290328,4290328,0,,,,,,,,,,,,,,,,
65A,Cape Fear Center For Inquiry,282487.41,199127.58,82818.83,541,0,0.251894411860691,71157,71157,0,,,,,,,,,,,,,,,,
65C,Classical Char Sch Of Wilm,607177.41,227765.98,379411.43,0,0,0,0,0,0,,,,,,,,,,,,,,,,
65G,Girls Leadership Academy Of W,956845.26,483911.54,441903.38,35528.1,-4497.76000000001,0,0,0,0,,,,,,,,,,,,,,,,
65H,Wilmington School Of The Arts,331190.13,331190.13,0,0,0,0.00161538630393363,535,535,0,,,,,,,,,,,,,,,,
65Z,Dc Virgo Prep Academy,912381.67,188034.55,625560.63,98786.49,0,0.163095122241989,148805,148805,0,,,,,,,,,,,,,,,,
660,Northampton Co,9318309.18,3288205.02,4351665.35,1678438.81,0,0.124132605782458,1156706,1156706,0,,,,,,,,,,,,,,,,
66A,Gaston College Preparatory,2892964.89,1484990.13,1407974.76,0,0,0,0,0,0,,,,,,,,,,,,,,,,
670,Onslow County,54794033.16,23314117.99,19373076.06,12106839.11,0,0.0185085846307138,1014160,1014160,0,,,,,,,,,,,,,,,,
67B,Zeca School Of Arts And Techn,568117.35,548959.01,19158.34,0,0,0,0,0,0,,,,,,,,,,,,,,,,
680,Orange County,8306372.89,4608735.71,2048661.88,1648975.3,0,0.422571445621676,3510036,3510036,0,,,,,,,,,,,,,,,,
681,Chapel Hill/Carr,7256708.11,6405747.26,851000,-39.15,0,0,0,0,0,,,,,,,,,,,,,,,,
690,Pamlico County,3477403.69,2384674.61,1055043.89,37685.19,0,0.21717236976878,755196,755196,0,,,,,,,,,,,,,,,,
69A,Arapahoe Charter School,1353953.33,978486.71,375466.62,0,0,0.570556593704748,772507,772507,0,,,,,,,,,,,,,,,,
700,Pasquotank County,15156358.6,2113866.8,10473200.28,2569291.52,0,0.0266246669566132,403533,403533,0,,,,,,,,,,,,,,,,
70A,Ne Academy Of Aerospace,233784.7,30022.48,122707.86,81540.36,-486,0.048861195792539,11423,11423,0,,,,,,,,,,,,,,,,
710,Pender County,16637279.84,5108645.24,9286075.1,2242559.5,0,0,0,0,0,,,,,,,,,,,,,,,,
720,Perquimans County,4165729.91,1906017.82,1819686.33,440025.76,0,0.136106039577587,566981,566981,0,,,,,,,,,,,,,,,,
730,Person County,10698412.84,4301695.86,5263578.56,1133138.42,0,0.0218583825000345,233850,233850,0,,,,,,,,,,,,,,,,
73A,Bethel Hill Charter School,308462.39,212461.26,60601.13,35400,0,0,0,0,0,,,,,,,,,,,,,,,,
740,Pitt County,68437338.09,28977047.34,34658545.96,4801382.43,362.360000014305,0.0808164249861168,5530861,5530861,0,,,,,,,,,,,,,,,,
74C,Winterville Charter Academy,591569.25,377055.01,158216.1,56298.14,0,0.0304089504314161,17989,17989,0,,,,,,,,,,,,,,,,
74Z,Ecu Lab School,447948.26,239659.01,163283.16,48345.09,-3339,0.292647637474917,131091,131091,0,,,,,,,,,,,,,,,,
750,Polk County,3958473.83,2818901.77,964068.23,175503.83,0,0.0650801321579029,257618,257618,0,,,,,,,,,,,,,,,,
760,Randolph County,31787864.7,16411225.19,10527646.37,4848993.14,0,0.141434948287042,4495915,4495915,0,,,,,,,,,,,,,,,,
761,Asheboro City,10178917.24,5765063.99,4053311.69,360541.56,0,0.0500921648126103,509884,509884,0,,,,,,,,,,,,,,,,
76A,Uwharrie Charter Academy,970819.88,1018462.52,49553.76,0,-97196.4,0,0,0,0,,,,,,,,,,,,,,,,
770,Richmond County,22036454.84,3098108.24,7789294.08,10561534.99,587517.530000005,0.0764809045845597,1685368,1685368,0,,,,,,,,,,,,,,,,
780,Robeson County,100448145.52,32044240.69,28420886.04,26562629.43,13420389.36,0.0996499133775148,10009649,10009649,0,,,,,,,,,,,,,,,,
78A,Cis Academy,256512.43,241426.54,29940.06,0,-14854.17,0,0,0,0,,,,,,,,,,,,,,,,
78C,Old Main Stream Academy,201316.23,134968.44,66347.79,0,0,0.199685837550206,40200,40200,0,,,,,,,,,,,,,,,,
790,Rockingham County,28211382.13,18416608.44,6595105.06,3199668.63,0,0.12449914661448,3512293,3512293,0,,,,,,,,,,,,,,,,
79Z,Moss Street Partnership Sch,765296.69,765296.69,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
800,Rowan-Salisbury,45833224.2,9661626.35,27241585.06,8965268.38,-35255.5900000036,0,0,0,0,,,,,,,,,,,,,,,,
80C,Faith Academy,526000.98,101639.23,424361.75,0,0,0,0,0,0,,,,,,,,,,,,,,,,
810,Rutherford County,22038957.38,11340256.81,7732981.17999999,2991496.17,-25776.77999999,0.396724257379548,8743389,8743389,0,,,,,,,,,,,,,,,,
81A,Thomas Jefferson Classical,662374.62,465969.84,195068.2,1336.58,0,0,0,0,0,,,,,,,,,,,,,,,,
81B,Lake Lure Classical Academy,454575.78,454575.78,0,0,0,0.353630807167069,160752,160752,0,,,,,,,,,,,,,,,,
820,Sampson County,26159236.02,12992874.95,12357312.08,809048.99,0,0.0921639683267784,2410939,2410939,0,,,,,,,,,,,,,,,,
821,Clinton City,7363294.36,2868176.37,2368977.08,2126140.91,0,0,0,0,0,,,,,,,,,,,,,,,,
830,Scotland County,21029931.33,7628599.21,8756534.84,4644797.28,0,0.0847266675311583,1781796,1781796,0,,,,,,,,,,,,,,,,
840,Stanly County,15666114.49,8952619.7,4949237.6,1764257.19,0,0.0287675671135734,450676,450676,0,,,,,,,,,,,,,,,,
850,Stokes County,9305514.67,3607048.4,5373545.85,324920.42,0,0.16776525053826,1561142,1561142,0,,,,,,,,,,,,,,,,
860,Surry County,15593939.2,8076293.94,5974076.58,1543568.68,0,0.116661478326144,1819212,1819212,0,,,,,,,,,,,,,,,,
861,Elkin City,1805265.73,1395801.89,404784.16,0,4679.67999999924,0.205359794870753,370729,370729,0,,,,,,,,,,,,,,,,
862,Mount Airy City,4092495.93,2743264.58,1201133.62,148097.73,0,0.260598670894708,1066499,1066499,0,,,,,,,,,,,,,,,,
870,Swain County,3211155.73,691371.19,787312.25,1732472.7,-0.40999999968335,0.0408572523513209,131199,131199,0,,,,,,,,,,,,,,,,
87A,Mountain Discovery School,168847.75,155176.61,13671.14,0,0,0.919029125351093,155176,155176,0,,,,,,,,,,,,,,,,
880,Transylvania Co,7339141.17,4975783.24,2180580.02,182777.91,0,0.195034536990654,1431386,1431386,0,,,,,,,,,,,,,,,,
88A,Brevard Academy,327943.88,327943.88,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
890,Tyrrell County,1815005.48,812688.16,806914.22,195403.1,0,0,0,0,0,,,,,,,,,,,,,,,,
900,Union County,39595481.44,23254762.88,16000281.21,340437.35,0,0.143462657692589,5680473,5680473,0,,,,,,,,,,,,,,,,
90C,Union Preparatory Academy,448082.28,255519.64,154875.65,37686.99,0,0.570250178159243,255519,255519,0,,,,,,,,,,,,,,,,
90D,Monroe Charter Academy,217550.46,124917.06,92507.81,125.59,0,0,0,0,0,,,,,,,,,,,,,,,,
90F,Apprentice Academy Hs Of Nc,120145.04,120145.04,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
910,Vance County,24553381.65,10407856.2,13005695.56,1139829.89,0,0.0585651304776587,1437972,1437972,0,,,,,,,,,,,,,,,,
91A,Vance Charter School,493537.75,254906.39,238631.36,0,0,0.0610530805394319,30132,30132,0,,,,,,,,,,,,,,,,
91B,Henderson Collegiate,4698218.74,396085.6,3952133.14,350000,0,0.00776421916873117,36478,36478,0,,,,,,,,,,,,,,,,
920,Wake County,215822293.23,138624076.51,70839838.45,6358377.48,0.790000051259995,0.114820019883634,24780720,24780720,0,,,,,,,,,,,,,,,,
92B,Exploris Middle School,61701.59,45484.18,16217.41,0,0,0.737160906226242,45484,45484,0,,,,,,,,,,,,,,,,
92G,East Wake Academy,224043.96,224043.96,0,0,0,0.296084750510569,66336,66336,0,,,,,,,,,,,,,,,,
92M,Preeminent Charter School,1194264.29,436992.47,204033.71,553238.11,0,0.0118725814032336,14179,14179,0,,,,,,,,,,,,,,,,
92R,Casa Esperanza,110404.3,97407.17,12997.13,0,0,0.783103556654949,86458,86458,0,,,,,,,,,,,,,,,,
92T,Triangle Math & Science,139626.52,139626.52,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
92V,Wake Forest Charter Academy,86966.7,90219.95,0,-568.3,-2684.94999999998,0,0,0,0,,,,,,,,,,,,,,,,
92W,Cardinal Charter,149366.27,77540.02,60269.25,11557,0,0.519126573891147,77540,77540,0,,,,,,,,,,,,,,,,
930,Warren County,7587273.8,2007895.1,4870082.07,709296.63,0,0.107011559277062,811926,811926,0,,,,,,,,,,,,,,,,
93A,Haliwa Saponi Tribal School,518996.68,130855.78,329969.08,58171.82,0,0,0,0,0,,,,,,,,,,,,,,,,
93J,Rise Se Raleigh Charter Scho,1373433.82,1082842.06,290591.76,0,0,0,0,0,0,,,,,,,,,,,,,,,,
93L,Central Wake Charter High Sch,493532.5,311260.62,182271.88,0,0,0.253286257743918,125005,125005,0,,,,,,,,,,,,,,,,
93P,Rolesville Charter Academy,149366.27,149366.27,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
93Q,Carolina Charter Academy:Cfa,207809.72,114190.04,93619.68,0,0,0,0,0,0,,,,,,,,,,,,,,,,
93R,Raleigh Oak Charter School,51960.84,51960.84,0,0,0,0.324282671334798,16850,16850,0,,,,,,,,,,,,,,,,
93T,Cardinal Charter Academy,350671.61,220131.19,106322.66,24217.76,0,0.627741150759253,220131,220131,0,,,,,,,,,,,,,,,,
93V,Doral Academy,178588.49,114492.34,64096.15,0,0,0.641093947319897,114492,114492,0,,,,,,,,,,,,,,,,
940,Washington County,6704776.94,3320600.77,1146990.09,2237186.08,0,0.0748882482584126,502109,502109,0,,,,,,,,,,,,,,,,
94A,Pocosin Innovative Charter,149366.27,126954.78,22411.49,0,0,0,0,0,0,,,,,,,,,,,,,,,,
94Z,North East Regional School,94170.06,68932.84,25237.22,0,0,0.177498028566617,16715,16715,0,,,,,,,,,,,,,,,,
950,Watauga County,5932027.03,4878799.84,1053227.19,0,0,0.0939798482341035,557491,557491,0,,,,,,,,,,,,,,,,
95A,Two Rivers Community School,130392.26,33849.16,67718.82,28824.28,0,0,0,0,0,,,,,,,,,,,,,,,,
960,Wayne County,55930435.03,24684326.57,13960746.9,17285361.56,0,0.0653255065518485,3653684,3653684,0,,,,,,,,,,,,,,,,
96C,Dillard Academy,1084464.79,80001.25,451638.82,552824.72,0,0,0,0,0,,,,,,,,,,,,,,,,
96F,Wayne Preparatory,1055237.32,449715.92,391355.47,214165.93,0,0,0,0,0,,,,,,,,,,,,,,,,
970,Wilkes County,23861189.39,5208020.77,14468243.89,5495580.83,-1310656.1,0.118413166829988,2825479,2825479,0,,,,,,,,,,,,,,,,
980,Wilson County,37413587.63,11674889.45,16756911.72,8873212.85,108573.609999999,0.080915683091897,3027346,3027346,0,,,,,,,,,,,,,,,,
98A,Sallie B Howard School,3600778.84,2479152.4,1065531.91,56094.53,0,0.054005538424015,194462,194462,0,,,,,,,,,,,,,,,,
98B,Wilson Preparatory Academy,366905.85,366905.85,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
990,Yadkin County,9305514.67,4755482.78,3583979.26,966052.63,0,0.240613988522142,2239037,2239037,0,,,,,,,,,,,,,,,,
995,Yancey County,4844326.88,2684056.83,1776549.44,383720.61,0,0.404685325446081,1960428,1960428,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3238020832.47,1633294090.69,1254898531.6,340954078.3,8874131.88000028,,343739426.53,343739426.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
VALIDATION,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC 181 Learning Loss Only,,,,,,,,,,,,,,,,,,,,,,,,,,
Prior Years Total Exp. PRC 181 (Learning Loss Only),,343739426.53,,,,,,,,,,,,,,,,,,,,,,,,
Current Sum of Exp. of Interventions (Learning Loss Only),,0,,,,,,,,,,,,,,,,,,,,,,,,
Does TOTAL LEARNING LOSS Expenditures at least 20%?,,0,,,,,,,,,,,,,,,,,,,,,,,,
Is TOTAL LEARNING LOSS Expenditures less than or equal to TOTAL PRC 181 Expenditures?,,Y,,,,,,,,,,,,,,,,,,,,,,,,
Is TOTAL LEARNING LOSS Expenditures less than or equal to TOTAL PRC 181 allotment?,,Y,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC 181,,,,,,,,,,,,,,,,,,,,,,,,,,
Total PRC 181 Allotment (up to 1/31/2025),,3238020832.47,,,,,,,,,,,,,,,,,,,,,,,,
Total PRC 181 Expenditures,,3229146700.59,,,,,,,,,,,,,,,,,,,,,,,,
Is Total  Expenditures for PRC 181 less than or equal to Allotment?,,Y,,,,,,,,,,,,,,,,,,,,,,,,
